Name,Price,https://bc-robotics.com/shop/tactile-button-breadboard-compatible-soft/,Part name,Part price,Link
Raspberry Pi 5 4gb,$60.00,https://vilros.com/products/raspberry-pi-5?variant=40065551269982&src=raspberrypi,PCB (with shipping),$5.12,
7 inch Display,$15.19,https://www.aliexpress.us/item/3256807246146590.html?spm=a2g0o.productlist.main.1.126a1Fpt1FptCg&algo_pvid=fecb2179-18fe-4805-a588-9e30f053ad4b&algo_exp_id=fecb2179-18fe-4805-a588-9e30f053ad4b-55&pdp_ext_f=%7B%22order%22%3A%224079%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2143.29%2117.56%21%21%21309.20%21125.42%21%402103277f17505535904246668ee457%2112000040732762129%21sea%21US%210%21ABX&curPageLogUid=USORzKCp9hHt&utparam-url=scene%3Asearch%7Cquery_from%3A&gatewayAdapt=glo2usa,soldering iorn with solder,$0.99,https://www.aliexpress.us/item/3256805437517395.html?spm=a2g0o.productlist.main.1.2788MSVZMSVZ1L&algo_pvid=ad8109aa-ed82-4919-9ee9-79a1db8021c6&algo_exp_id=ad8109aa-ed82-4919-9ee9-79a1db8021c6-0&pdp_ext_f=%7B%22order%22%3A%2220756%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2116.42%210.99%21%21%21117.40%217.14%21%402101e07217507167580082408e3b87%2112000033826061945%21sea%21US%216400613616%21ABX&curPageLogUid=VuCmICKJlJMa&utparam-url=scene%3Asearch%7Cquery_from%3A
Custom PCB PowerBooster ,$15.33,Details: (look right),10 uf capacitors,$0.16,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A106KQ8NNNC/3886696
8000 mAh battery,$17.00,https://www.amazon.com/MakerHawk-Rechargeable-Protection-Connector-Multiple/dp/B0D94813LY/ref=sr_1_2?crid=30JXF2K1X1C96&dib=eyJ2IjoiMSJ9.n9kbm-0Oobt5QegjvHyinV_XN4HhS9vN3KnbbUCjIwfFYDpomNuSswTFEHMUBdfNqjbEyv4HOsgtuOMXY5922LzDCiubH6nzgqUaNxp-vReo24yjWYzOh6mJT_xWY9bM9qkuzcK5tZhGBVsy1z_4JDUZFkgrlNeHeXn6kjqyXwxLWACqBn_nA6x5D4NWKl_IXVkj02szyFNZ7sDhut2I3lcf9oekbKm6t8wfnPRjBGmqcKv2ZaD67M_-f_5WPaEI-u9UHtXeMOnIUvRRRt0q005DUXd99g0Za8tAYieEUXw.z1dapHiqEZpqZ1O20q2f37wKGKSD6FGHIeYcz-z7QRI&dib_tag=se&keywords=makerhawk%2B3.7v%2B8000mah%2Blipo%2Bbattery&qid=1750554565&sprefix=makerhawk%2B3.7v%2B8000mah%2Blipo%2Bbattery%2Caps%2C131&sr=8-2&th=1,4.7 uf capacitor,$0.08,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A475KQ8NNNC/3886703
3d print shiping,$5.31,https://postcalc.usps.com/Calculator/Summary?country=0&ccode=US&oz=30024&omil=False&dz=60047&dmil=False&retail=False&mdt=6%2F22%2F2025&mdz=18%3A29&m=6&hscode=False&p=0&o=8.82&rect=True&l=0&h=0&w=0&g=0&mt=58&dok=XX&pt=b&es0=106&es1=155,22 uf capacitor,$0.43,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A226KQ8NRNE/3888525
Buttons,$3.64,https://bc-robotics.com/shop/tactile-button-breadboard-compatible-soft/,RGB LED,$0.50,https://www.digikey.com/en/products/detail/american-bright-optoelectronics-corporation/BL-HBXJXGX32L/9678124
Jumper Cables,$1.40,https://www.aliexpress.us/item/3256807120407309.html?spm=a2g0o.productlist.main.2.24ce6f69hxMUqg&algo_pvid=958256f8-18f8-4365-b8c9-140e0bb9c645&algo_exp_id=958256f8-18f8-4365-b8c9-140e0bb9c645-1&pdp_ext_f=%7B%22order%22%3A%229850%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007306722061%22%2C%22orig_item_id%22%3A%221005007967664210%22%7D&pdp_npi=4%40dis%21USD%212.36%211.18%21%21%2116.86%218.43%21%402103146c17505455440738317e0976%2112000040176963097%21sea%21US%210%21ABX&curPageLogUid=xrdjDTSfeDxT&utparam-url=scene%3Asearch%7Cquery_from%3A,USB C port,$0.88,https://www.digikey.com/en/products/detail/gct/USB4085-GF-A/9859662?s=N4IgjCBcoEwBxVAYygMwIYBsDOBTANCAPZQDaIALGHAMwCcArCALqEAOALlCAMocBOASwB2AcxABfCYRhkQAV2wAjAAQpCipRQAMcJswlA
Micro SD Card,$9.00,https://www.amazon.com/Silicon-Power-Memory-Adapter-Drones/dp/B09TQS634Y/ref=sr_1_2?crid=20S8HD1H5ENQQ&dib=eyJ2IjoiMSJ9.uPrblYGnzQUbVEXcpk4AROSKTm8mPbtrugZ3PSjw8GXPGbB4vCYLZ_G-F0j_YwhEOKhVtriPg0tpAqLA1aGGPuEZQlV3xT9G5-Enxn_eOveJtAT0Mtd3yeqDmlGd28C84efVr0wTm-FZdiOCwRsmBNnfvVQYo6Ny-zQOB9WZHvMoWZ6CIzcJ-QG-A4n4mPyCL9sMjbqhGyHtebxiez2O4SEIm3X02q5Jr4kq4dHlhBw.mZs_mD5Auj6BlWSXOToRRgttYyLPdjtrL8vURcPcNgI&dib_tag=se&keywords=sd%2Bcard%2B128gb&qid=1750554044&sprefix=sd%2Bcard%2B128gb%2Caps%2C164&sr=8-2&th=1,2 pin connector,$0.10,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B2B-XH-A/1651045
Usb A to Usb C adapter,$2.42,https://www.aliexpress.us/item/3256807108709558.html?spm=a2g0o.productlist.main.8.50895C4W5C4WcL&aem_p4p_detail=202506221606161540335505932300005679941&algo_pvid=8a8ac474-02bc-4404-8b93-7a5890848cd5&algo_exp_id=8a8ac474-02bc-4404-8b93-7a5890848cd5-7&pdp_ext_f=%7B%22order%22%3A%223473%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.74%212.42%21%21%2119.60%2117.32%21%402101c5a417506335764056599e016f%2112000040098156876%21sea%21US%210%21ABX&curPageLogUid=sbBMP07YoxbB&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202506221606161540335505932300005679941_2,USB A port,$0.73,https://www.digikey.com/en/products/detail/gct/USB1046-GF-0190-L-B-A/10649632?s=N4IgjCBcoEwBxVAYygMwIYBsDOBTANCAPZQDaIALGHAMwUCsIAuoQA4AuUIAyuwE4BLAHYBzEAF9CAWkbQQKSBhwFiZEDGbjJ6tQFdsAIwAE6EIX0GwABgoA2ZoVmhWUMGxeQY9LUA
Micro HDMI to HDMI,$1.04,https://www.aliexpress.us/item/3256807402775203.html?spm=a2g0o.productlist.main.5.40dc4630XOmUzx&algo_pvid=b9acfc16-4afa-43cb-83a9-8fa6b036f659&algo_exp_id=b9acfc16-4afa-43cb-83a9-8fa6b036f659-4&pdp_ext_f=%7B%22order%22%3A%22372%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.24%211.04%21%21%218.83%217.40%21%40210308a417506357155634920ec2e0%2112000041411172025%21sea%21US%210%21ABX&curPageLogUid=KhZC8z5EvJW2&utparam-url=scene%3Asearch%7Cquery_from%3A,Inductor,$0.22,https://www.digikey.com/en/products/detail/taiyo-yuden/NR6028T4R7M/1866183
,,,Soldering flux,$0.99,https://www.aliexpress.us/item/3256807890175705.html?spm=a2g0o.productlist.main.2.6be93ac2sPkvmM&algo_pvid=df40176b-4079-41b7-9843-2653c429aa14&algo_exp_id=df40176b-4079-41b7-9843-2653c429aa14-1&pdp_ext_f=%7B%22order%22%3A%2214524%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%216.24%210.99%21%21%2144.60%217.09%21%402101ead817507310202248442ea708%2112000044080584261%21sea%21US%216400613616%21ABX&curPageLogUid=pddYfUUS4CWt&utparam-url=scene%3Asearch%7Cquery_from%3A
,,,TPS61090 chip,$2.22,https://www.digikey.com/en/products/detail/texas-instruments/TPS61090RSAR/566911
,,,MCP73871-2cc chip,$2.41,https://www.digikey.com/en/products/detail/microchip-technology/mcp73871-2cci-ml/1680971
,,,1k ressistor,$0.20,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0603FT1K00/1761077
,,,5.1k resistor,$0.20,https://www.digikey.com/en/products/detail/yageo/RC0603FR-075K1L/727268
,,,2k ressistor,$0.10,https://www.digikey.com/en/products/detail/yageo/RC0603JR-072KL/726726
,,Shipping Costs,"Tarrifs, Import Fees, etc.",Parts total:,
,,$4.99,$3.35,$15.33,
